date,vx_doses
5/24/2022,0
5/25/2022,0
5/26/2022,0
5/27/2022,1
5/28/2022,1
5/29/2022,1
5/30/2022,1
5/31/2022,1
6/1/2022,1
6/2/2022,1
6/3/2022,2
6/4/2022,2
6/5/2022,1
6/6/2022,1
6/7/2022,1
6/8/2022,1
6/9/2022,1
6/10/2022,1
6/11/2022,1
6/12/2022,1
6/13/2022,1
6/14/2022,2
6/15/2022,2
6/16/2022,2
6/17/2022,2
6/18/2022,2
6/19/2022,3
6/20/2022,44
6/21/2022,71
6/22/2022,71
6/23/2022,92
6/24/2022,117
6/25/2022,126
6/26/2022,125
6/27/2022,92
6/28/2022,66
6/29/2022,67
6/30/2022,46
7/1/2022,21
7/2/2022,14
7/3/2022,14
7/4/2022,108
7/5/2022,189
7/6/2022,234
7/7/2022,279
7/8/2022,293
7/9/2022,369
7/10/2022,434
7/11/2022,415
7/12/2022,429
7/13/2022,428
7/14/2022,970
7/15/2022,1022
7/16/2022,1035
7/17/2022,1050
7/18/2022,1070
7/19/2022,1057
7/20/2022,1086
7/21/2022,1074
7/22/2022,1085
7/23/2022,1095
7/24/2022,1103
7/25/2022,1110
7/26/2022,1138
7/27/2022,1660
7/28/2022,1641
7/29/2022,1670
7/30/2022,1708
7/31/2022,1742
8/1/2022,1760
8/2/2022,1926
8/3/2022,2156
8/4/2022,2385
8/5/2022,2396
8/6/2022,2396
8/7/2022,2399
8/8/2022,2595
8/9/2022,2643
8/10/2022,2504
8/11/2022,2343
8/12/2022,2341
8/13/2022,2313
8/14/2022,2300
8/15/2022,2212
8/16/2022,2077
8/17/2022,1391
8/18/2022,903
8/19/2022,923
8/20/2022,849
8/21/2022,738
8/22/2022,662
8/23/2022,652
8/24/2022,805
8/25/2022,808
8/26/2022,739
8/27/2022,765
8/28/2022,784.4
8/29/2022,772.54
8/30/2022,757.494
